,region_id,proportion,total-reviews,negative-BOW,bad,small,dirty,unfriend,far,inconvenient,disappoint,sensitive
12,4-Yau Tsim Mong,0.05084841949946087,17621,"Counter({'small': 614, 'old': 278, 'noisy': 173, 'however': 140, 'bad': 111, 'tiny': 94, 'although': 80, 'smaller': 40, 'dirty': 35, 'far': 28, 'terrible': 26, 'scary': 21, 'smelly': 18, 'worst': 16, 'horrible': 11, 'poor': 11, 'cleaner': 9, 'unpleasant': 9, 'smallest': 8, 'worried': 7, 'inconvenient': 6, 'weird': 6, 'satisfied': 6, 'dodgy': 6, 'disappointed': 6, 'worse': 6, 'disappointing': 5, 'awful': 5, 'filthy': 4, 'pleased': 4, 'unfortunate': 3, 'unfriendly': 3, 'shabby': 3, 'unclean': 3, 'rude': 3, 'modest': 3, 'unhygienic': 2, 'obviously': 2, 'surprised': 2, 'cleanest': 2, 'nasty': 2, 'unprofessional': 2, 'tiniest': 2, 'dreadful': 1, 'hassle': 1, 'inconvenience': 1, 'impressed': 1, 'unhappy': 1, 'disgusting': 1, 'gloomy': 1, 'farther': 1, 'annoying': 1, 'dissapointed': 1, 'unreliable': 1, 'horrendous': 1, 'tough': 1, 'smallish': 1, 'concerned': 1, 'disastrous': 1, 'stinky': 1, 'sad': 1, 'unlucky': 1, 'glad': 1, 'crappy': 1})",0.17923360254924775,0.21855021619341408,0.17115141259191488,0.17689074153315112,0.13501642789752438,0.16557811292811014,0.1327193303398464,small
13,0-Wan Chai,0.045460677188722515,7413,"Counter({'small': 251, 'old': 154, 'noisy': 113, 'however': 64, 'tiny': 31, 'although': 30, 'bad': 30, 'smaller': 25, 'dirty': 11, 'far': 11, 'smelly': 8, 'disappointed': 8, 'weird': 7, 'worst': 6, 'cleaner': 4, 'scary': 4, 'unclean': 3, 'unpleasant': 3, 'inconvenient': 3, 'poor': 3, 'tough': 3, 'impressed': 3, 'grungy': 2, 'stinky': 2, 'worried': 2, 'rude': 2, 'worse': 2, 'surprised': 2, 'angry': 2, 'terrible': 1, 'hassle': 1, 'dirtiness': 1, 'unfortunate': 1, 'unprofessional': 1, 'anxious': 1, 'unfriendly': 1, 'satisfied': 1, 'sliver': 1, 'cleanest': 1, 'subjective': 1, 'glad': 1, 'concerned': 1, 'unreliable': 1, 'filthy': 1, 'disappointing': 1, 'obviously': 1, 'nasty': 1, 'pleased': 1, 'stench': 1, 'unlucky': 1, 'horrible': 1, 'modest': 1, 'awful': 1, 'shocked': 1, 'inconvenience': 1, 'greasy': 1})",0.23522616451761227,0.29995433577885144,0.2377583283485379,0.24846863115002782,0.1888756768530326,0.23439511371624475,0.18834114232857788,small
14,-1-Eastern,0.028395061728395062,2430,"Counter({'small': 46, 'old': 34, 'however': 19, 'noisy': 11, 'far': 7, 'although': 6, 'smaller': 6, 'tiny': 5, 'satisfied': 3, 'bad': 3, 'smelly': 2, 'glad': 2, 'sad': 1, 'disappointment': 1, 'unfortunate': 1, 'terrible': 1, 'poor': 1, 'cleaner': 1, 'dirty': 1, 'obviously': 1, 'disappointed': 1})",0.3252459931796907,0.4339180168997126,0.3120108910434388,0.32688414689897044,0.3032137603745944,0.3083009547744868,0.2859012376347978,small
15,0-Yau Tsim Mong,0.045081967213114756,8296,"Counter({'small': 253, 'old': 152, 'noisy': 102, 'however': 63, 'bad': 52, 'although': 32, 'smaller': 31, 'tiny': 29, 'far': 21, 'worst': 12, 'terrible': 11, 'dirty': 11, 'smelly': 8, 'worse': 7, 'disappointed': 6, 'satisfied': 5, 'unpleasant': 5, 'poor': 5, 'horrible': 4, 'scary': 3, 'weird': 3, 'concerned': 2, 'smallest': 2, 'pleased': 2, 'inconvenient': 2, 'unfriendly': 2, 'stressful': 2, 'glad': 2, 'disappointing': 2, 'obviously': 2, 'worried': 1, 'lousy': 1, 'sorry': 1, 'filthy': 1, 'unsanitary': 1, 'grime': 1, 'confused': 1, 'unfortunate': 1, 'rude': 1, 'cleanest': 1, 'angry': 1, 'hassle': 1, 'surprising': 1, 'hostile': 1, 'overally': 1, 'awful': 1, 'inconsiderate': 1, 'tough': 1})",0.23186618366506337,0.27321285786924754,0.21851414751373793,0.2307480124618562,0.18095953880125668,0.21561785046680107,0.17734124642562776,small
16,3-Central & Western,0.020242914979757085,3952,"Counter({'old': 48, 'small': 46, 'however': 20, 'tiny': 12, 'bad': 11, 'far': 10, 'noisy': 10, 'although': 9, 'worst': 7, 'terrible': 5, 'cleaner': 3, 'smaller': 2, 'glad': 2, 'unfortunate': 2, 'cleanest': 2, 'dirty': 2, 'sour': 1, 'impressed': 1, 'nasty': 1, 'unpleasant': 1, 'filthy': 1, 'horrible': 1, 'satisfied': 1, 'unlucky': 1, 'poor': 1, 'sorry': 1, 'unclean': 1, 'smelly': 1, 'awful': 1, 'disappointed': 1})",0.4023131256525546,0.4234576599985116,0.37121332579697197,0.3712615683318299,0.32589040056175905,0.34188661347134663,0.30246224983202946,small
17,-1-Kowloon City,0.0602878257487359,2571,"Counter({'small': 92, 'old': 54, 'noisy': 33, 'bad': 25, 'however': 22, 'far': 17, 'dirty': 16, 'tiny': 14, 'although': 12, 'terrible': 10, 'smaller': 9, 'poor': 8, 'unpleasant': 6, 'smelly': 5, 'worst': 5, 'inconvenient': 5, 'worse': 4, 'cleaner': 4, 'unhappy': 3, 'scary': 3, 'horrible': 3, 'obviously': 3, 'satisfied': 3, 'sized': 2, 'disappointing': 2, 'disappointed': 2, 'farthest': 2, 'rude': 2, 'concerned': 2, 'impressed': 1, 'disturbed': 1, 'hassle': 1, 'weird': 1, 'unhygienic': 1, 'abysmal': 1, 'filthy': 1, 'grimy': 1, 'rotten': 1, 'stinky': 1, 'dreadful': 1, 'sorry': 1, 'sad': 1, 'ugly': 1})",0.3668575658142432,0.37259220830711737,0.35439185641475396,0.3516793285036078,0.2771607217196598,0.3379277114285621,0.2776777307633357,small
18,-1-Kwai Tsing,0.019230769230769232,156,"Counter({'small': 1, 'disappointed': 1, 'far': 1, 'poor': 1})",0.9107130588143832,0.8375382660026867,0.6740478487706437,0.8041605919451925,0.9301949146614656,0.7038764500136457,1.1599563446822627,disappoint
19,1-Yau Tsim Mong,0.054946579714166784,14414,"Counter({'small': 577, 'old': 354, 'noisy': 182, 'however': 130, 'bad': 94, 'although': 83, 'smaller': 66, 'tiny': 56, 'dirty': 22, 'far': 20, 'terrible': 20, 'worst': 17, 'smelly': 16, 'poor': 15, 'disappointed': 13, 'cleaner': 11, 'satisfied': 8, 'unclean': 7, 'inconvenient': 6, 'scary': 6, 'unlucky': 5, 'weird': 5, 'filthy': 5, 'worse': 5, 'obviously': 5, 'smallest': 4, 'hassle': 4, 'horrible': 4, 'awful': 4, 'disappointing': 4, 'stressful': 4, 'unsanitary': 3, 'rude': 3, 'worried': 3, 'unpleasant': 3, 'sorry': 2, 'unprofessional': 2, 'glad': 2, 'nasty': 2, 'concerned': 2, 'angry': 2, 'dodgy': 1, 'pleased': 1, 'surprising': 1, 'surpris': 1, 'risky': 1, 'horrid': 1, 'washing': 1, 'though': 1, 'friendlier': 1, 'unfortunate': 1, 'frustrated': 1, 'shabby': 1, 'seedy': 1, 'sweaty': 1, 'dirtier': 1, 'disappointment': 1, 'confused': 1, 'unhygienic': 1, 'shaky': 1, 'impressed': 1, 'rotten': 1, 'tough': 1, 'shocked': 1})",0.17829061250929312,0.21934078123266512,0.1709019602695842,0.1775768741118684,0.13662286519983585,0.1662183177532841,0.1351118586852798,small
20,5-Yau Tsim Mong,0.055252455113580005,10081,"Counter({'small': 389, 'old': 272, 'noisy': 133, 'however': 89, 'bad': 66, 'although': 60, 'tiny': 44, 'smaller': 37, 'far': 20, 'dirty': 18, 'terrible': 14, 'worst': 11, 'smelly': 10, 'cleaner': 10, 'poor': 8, 'disappointed': 7, 'scary': 6, 'rude': 6, 'worse': 5, 'horrible': 5, 'tough': 5, 'unpleasant': 5, 'awful': 4, 'obviously': 4, 'satisfied': 4, 'sad': 3, 'disappointing': 3, 'weird': 3, 'farther': 3, 'surprised': 3, 'glad': 2, 'inconvenient': 2, 'filthy': 2, 'worried': 2, 'unhappy': 2, 'sorry': 2, 'sizeable': 2, 'surprising': 2, 'risky': 2, 'mediocre': 1, 'annoyed': 1, 'pleased': 1, 'impressed': 1, 'disturbed': 1, 'dirtier': 1, 'unfriendly': 1, 'shocked': 1, 'ugly': 1, 'confident': 1, 'unclean': 1, 'unwelcome': 1, 'dodgy': 1, 'grime': 1, 'unprofessional': 1, 'stupid': 1, 'hassle': 1, 'hickup': 1, 'horrendous': 1, 'unhygienic': 1, 'smallest': 1, 'untrustworthy': 1})",0.2084601616153661,0.25067021383459015,0.19985441789214933,0.2075211937019242,0.16131000801668915,0.19357894304404416,0.15862716600377855,small
21,-1-North,0.022284122562674095,359,"Counter({'small': 5, 'far': 2, 'however': 1, 'sorry': 1, 'although': 1, 'worst': 1, 'tiresome': 1})",0.6928234065355919,0.87329500450378,0.6157103357287029,0.6527733519942895,0.7365880351425422,0.6506916041107431,0.6337306435860884,small
