,id,negWord,proportion,num_total,embedding_dir,bad,small,dirty,unfriend,far,inconvenient,disappoint,sensitive
5703,3000069,"[""['small', 'noisy', 'noisy', 'smaller', 'cleaner', 'tiny']""]",0.5,2,./user_info/3000069.npy,0.3701271203070135,0.6398979253711091,0.5437102245273427,0.5401456706600554,0.3705308814325213,0.5140376871581518,0.3218861407707211,small
5704,143092943,"[""['small', 'old', 'old']""]",1.0,1,,,,,,,,,
5705,22516944,"[""['far']""]",1.0,1,,,,,,,,,
5706,6782161,"[""['far', 'smallest', 'small', 'small', 'tiny']""]",1.0,1,,,,,,,,,
5707,111351831,"[""['old', 'old', 'dirty', 'however', 'dirty', 'unclean', 'awful', 'cleaner']""]",0.5,2,./user_info/111351831.npy,0.5376152084086144,0.2892894855098085,0.7158454527787932,0.5267882304504179,0.33190118880148534,0.49315531676337254,0.31043543049005673,dirty
5708,189746387,"[""['bad', 'however']""]",1.0,1,,,,,,,,,
5709,13831235,"[""['small']""]",1.0,1,,,,,,,,,
5710,52444373,"[""['dirty', 'sorry', 'dirty', 'dirty', 'bad', 'old', 'old']""]",0.5,2,./user_info/52444373.npy,0.6320859203192346,0.3000922945190641,0.7517783343285972,0.5215741592464899,0.34128361483537295,0.5032387015668373,0.41792174603270055,dirty
5711,21005526,"[""['small']""]",1.0,1,,,,,,,,,
5712,69627095,"[""['small', 'small']""]",1.0,1,,,,,,,,,
5713,72615346,"[""['although', 'small']""]",1.0,1,,,,,,,,,
5714,12881115,"[""['however', 'small', 'noisy', 'noisy']""]",0.1,10,./user_info/12881115.npy,0.4799218994505531,0.7131654514440628,0.60485045759806,0.6920494265743632,0.48591544819127713,0.6717828335864785,0.48667294340859063,small
5715,27773529,"[""['worst']""]",1.0,1,,,,,,,,,
5716,15244509,"[""['small', 'old', 'old']""]",1.0,1,,,,,,,,,
5717,47809758,"[""['smaller']""]",1.0,1,,,,,,,,,
5718,125488351,"[""['noisy', 'noisy']""]",1.0,1,,,,,,,,,
5719,30229740,"[""['small', 'small']""]",1.0,1,,,,,,,,,
5720,207039902,"[""['small']""]",1.0,1,,,,,,,,,
5721,44618888,"[""['old', 'old', 'tiny', 'dirty', 'tough', 'sour']""]",1.0,1,,,,,,,,,
5722,58997893,"[""['bad']""]",0.3333333333333333,3,./user_info/58997893.npy,1.7320508059402266,0.6548912912436866,1.1471008523033233,1.1810937667123473,0.7548517322118414,1.0684966817364072,0.9968502449735466,bad
5723,31522053,"[""['tiny', 'satisfied']""]",1.0,1,,,,,,,,,
5724,9610286,"[""['horrible', 'smelly', 'small', 'small', 'terrible']""]",1.0,1,,,,,,,,,
5725,172426274,"[""['small']""]",1.0,1,,,,,,,,,
5726,237833251,"[""['small']""]",1.0,1,,,,,,,,,
5727,53385782,"[""['old', 'old', 'scary']""]",1.0,1,,,,,,,,,
5728,236051674,"[""['old', 'old', 'dirty', 'smelly']""]",1.0,1,,,,,,,,,
5729,132588582,"[""['however']""]",1.0,1,,,,,,,,,
5730,68512807,"[""['noisy', 'noisy']""]",1.0,1,,,,,,,,,
5731,93770792,"[""['noisy', 'noisy']""]",1.0,1,,,,,,,,,
5732,53966813,"[""['small']""]",0.5,2,./user_info/53966813.npy,0.7722406270543732,1.7320508055818802,0.7348913478632288,0.8669139008834877,0.6104673700121249,0.7469297672363708,0.4846541646546955,small
5733,67557258,"[""['old', 'old', 'small', 'surprising', 'smaller']""]",0.5,2,./user_info/67557258.npy,0.5769066497752138,0.7559441791122964,0.4893696495577431,0.5512534564487527,0.4835536428046628,0.5248115365912882,0.49170047069925116,small
5734,49649024,"[""['small', 'tiny']""]",1.0,1,,,,,,,,,
5735,37619395,"[""['glad']""]",1.0,1,,,,,,,,,
5736,156722,"[""['tiny', 'tiny', 'however']""]",1.0,1,,,,,,,,,
5737,156167219,"[""['old', 'old', 'old', 'old']""]",1.0,1,,,,,,,,,
5738,87430196,"[""['noisy', 'old', 'old', 'disappointed']""]",1.0,1,,,,,,,,,
5739,28810293,"[""['bad', 'small', 'small']""]",1.0,1,,,,,,,,,
5740,252970038,"[""['sorry']""]",1.0,1,,,,,,,,,
5741,226995255,"[""['although', 'small', 'small']""]",1.0,1,,,,,,,,,
5742,31945784,"[""['small', 'small', 'old', 'old']""]",1.0,1,,,,,,,,,
